id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
159,Overdose,Börni,2022/9/23,0.348536824,0.36,0.853693182,0.01060313,0.712247325,0.748516428,0.309688924,0.950846532,https://open.spotify.com/track/2CqMu6IKCTqt5aQjgwfvRh,https://i.scdn.co/image/ab67616d000048516871e3f5a1b88a7f0f817aa9,https://p.scdn.co/mp3-preview/99a1bccc1dd4848f3fc5e067e229a4c2cf80792e?cid=18308f0d5b8049c89ee330d9cfa4bc58,6,0
160,Holy Ones,Will Laroca,2022/9/16,0.288864209,0.5,0.811079545,0.424289339,0.687277051,0.578014184,0.449598772,0.386127799,https://open.spotify.com/track/4urezESl8ZfImK5bfurl8l,https://i.scdn.co/image/ab67616d0000485165d5901b15a31264a975a017,なし,3,0
161,Seaside,Definitely Not Luke,2022/2/27,0.251600647,0.31,0.555397727,0.060977813,0.731272295,0.416702851,0.590474539,0.683233206,https://open.spotify.com/track/1ORuqD4KQryVjBSJ42RmQ2,https://i.scdn.co/image/ab67616d0000485121fba213e6c4feca9b1707d0,https://p.scdn.co/mp3-preview/e89e482c32073b27b46425c6244fac0c1254d281?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
162,You Deserve A Better Man,Finn O'Hara,2022/6/24,0.201391894,0.49,0.464488636,0.179823966,0.871581451,0.833260964,0.698583317,0.460404151,https://open.spotify.com/track/7vqWwggwPAMu5y9I13Gxrv,https://i.scdn.co/image/ab67616d00004851e97e7af9634577c5be9fdd77,https://p.scdn.co/mp3-preview/1de7eebc2fc0c9815457c8c26968ad5a86312c66?cid=18308f0d5b8049c89ee330d9cfa4bc58,7,0
163,Bonfire,I am Korny,2022/9/23,0.233131158,0.32,0.491477273,0.602082337,0.615933413,0.463960052,0.309622878,0.515019115,https://open.spotify.com/track/3zoXiNdJ6ZepHUGWio8daO,https://i.scdn.co/image/ab67616d0000485104d313810b2fa09f52858aa6,https://p.scdn.co/mp3-preview/f681f6a6125432fa575273151868613b78bc6c14?cid=18308f0d5b8049c89ee330d9cfa4bc58,3,0
164,Ruins,Salvo,2022/9/30,0.254572821,0.32,0.119318182,0.624306462,0.561236623,0.647271675,1,0.212452212,https://open.spotify.com/track/6BpbEkyvDh8UHsfBoNejNO,https://i.scdn.co/image/ab67616d00004851a38eff1bcaa3fd718d5de19f,https://p.scdn.co/mp3-preview/2da6ed3620b1df28b6f5e044c5c1c81c0f2a6d39?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
165,Too Much Time to Think,Sylvie,2022/9/30,0.384066088,0.31,0.176136364,0.332217964,0.614744352,0.388261688,0.465416749,0.393773894,https://open.spotify.com/track/654vy01M2JbF7Gok5OtsGg,https://i.scdn.co/image/ab67616d00004851482a02b8557360c25d956e01,https://p.scdn.co/mp3-preview/134c57778d7f4f6c14ead9f47a7bc3323436eb6f?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
166,SNAP,Rosa Linn,2022/7/15,0.261446374,0.76,0.451704545,0.113151591,0.608799049,0.494644666,0.887664289,0.511742217,https://open.spotify.com/track/6zJejIfVYLgjud3lTk4DLB,https://i.scdn.co/image/ab67616d00004851c009b22a08eee835ce3efeb9,なし,7,0
167,Treat Me (Like A Toilet),Mel 4Ever,2022/6/9,0.11094104,0.29,0.447443182,0.004697862,0.75980975,0.905847445,0.475108976,0.55434189,https://open.spotify.com/track/6DRc5pMqLKQFhJ1K2Aq4Yj,https://i.scdn.co/image/ab67616d00004851ff34d5f30d26aad78fdd5fda,https://p.scdn.co/mp3-preview/6f4e746667901d534a0d2dd11931165abadc10f7?cid=18308f0d5b8049c89ee330d9cfa4bc58,5,0
168,Enemies,Mybe,2022/9/30,0.329615463,0.34,0.626420455,0.070714096,0.48156956,0.537487335,0.309655901,0.259421081,https://open.spotify.com/track/0z5BRQghyNUKqNdI0NaKgP,https://i.scdn.co/image/ab67616d00004851c7120caa687c489b49aead14,https://p.scdn.co/mp3-preview/7cd393cb82f6d389cd6dfc4ca032a1115d342a91?cid=18308f0d5b8049c89ee330d9cfa4bc58,0,0
169,Rose Colored Glasses,Mandi Sagal,2022/9/23,0.464317991,0.35,0.424715909,0.103309479,0.681331748,0.469894341,0.72210389,0.299836155,https://open.spotify.com/track/3W4XXuV5gMy2O6ntJ0Utcy,https://i.scdn.co/image/ab67616d00004851bb907252a0b2c9a630064cf7,https://p.scdn.co/mp3-preview/3cbe02d33a81a06aca5501d15f6cf9830d13928e?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
170,September,Bye Malo,2022/9/16,0.27891347,0.32,0.514204545,0.62959792,0.554102259,0.547836156,0.309713691,0.411250683,https://open.spotify.com/track/1uZWMevVzLukkBfjrLbaGg,https://i.scdn.co/image/ab67616d00004851750c3c85bda8f38a48fb204b,https://p.scdn.co/mp3-preview/35bb9b8a29a031f925b5c658e8a37ca8172972c0?cid=18308f0d5b8049c89ee330d9cfa4bc58,3,0
171,NO FAVOURS,ACER SPADE,2022/9/16,0.310643186,0.38,0.244318182,0.04870163,0.508917955,0.728325373,0.194760914,0.315128345,https://open.spotify.com/track/4wWlaMxGW7nNI2NgoSYBkO,https://i.scdn.co/image/ab67616d0000485177502b1585db438b0ea6b3e8,https://p.scdn.co/mp3-preview/a2fb59fac16be0f8c1253f78eed98c7ffdd5e61c?cid=18308f0d5b8049c89ee330d9cfa4bc58,0,0
172,Can't Get Away (feat. Emma Lundin),Seuto,2022/6/6,0.282289784,0.35,0.764204545,0.097277217,0.66587396,0.637284701,0.458498448,0.051884216,https://open.spotify.com/track/1uBk2Sp1cfcI4hNv7ouJjp,https://i.scdn.co/image/ab67616d0000485196beca321cbf7fe2eb83c163,https://p.scdn.co/mp3-preview/ca2caf7d87aa41b8d51528c5c1a8da58d5077ff1?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
173,Ferrari,James Hype,2022/4/1,0.284071816,0.91,0.852272727,0.013354688,0.673008323,0.517875235,0.516106928,0.694156199,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,https://i.scdn.co/image/ab67616d000048516cc861b5c9c7cdef61b010b4,なし,1,0
174,Drippin' In Love,Frankie Zulferino,2022/8/26,0.472585347,0.48,0.392045455,0.069973292,0.790725327,0.688522217,0.325176673,0.73784817,https://open.spotify.com/track/2qCl9fSe6lVJFVA18nCZ5Z,https://i.scdn.co/image/ab67616d000048518f3c27deb905c34fb1cf44f3,https://p.scdn.co/mp3-preview/18fc1c454cbd2f2a4b5bce3a91dc4a7fb10c0607?cid=18308f0d5b8049c89ee330d9cfa4bc58,5,0
175,Love Like a Fire,WIESINGER,2022/9/16,0.477040427,0.35,0.585227273,0.876179876,0.095124851,0,0.457169275,0.125068269,https://open.spotify.com/track/2mOhTJpVhY0p6GR91HF8OQ,https://i.scdn.co/image/ab67616d0000485152cb6ed2492041d034a1cb58,https://p.scdn.co/mp3-preview/c87ca2a0345260807d138b1bf96e4a8abd304bcf?cid=18308f0d5b8049c89ee330d9cfa4bc58,4,0
176,Obsessed,Sydney Gordon,2022/9/16,0.25864922,0.43,0.752840909,0.092620733,0.569560048,0.786293241,0.541567598,0.589295467,https://open.spotify.com/track/1d8wZNKbZ6x9764h7IpKCa,https://i.scdn.co/image/ab67616d0000485115b3450a46237a7c71ffdae6,https://p.scdn.co/mp3-preview/17e312b1da6b97685e0af51fd7015ec2c4879517?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
177,Die For You,ザ・ウィークエンド,2016/11/24,0.518256282,0.87,0.481534091,0.117384758,0.476813317,0.569546968,0.587312595,0.493173129,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,https://i.scdn.co/image/ab67616d00004851a048415db06a5b6fa7ec4e1a,なし,1,0
178,Stardust,DNIE,2022/9/23,0.499630865,0.42,0.359375,0.025630871,0.935790725,0.671370676,0.310423684,0.191698525,https://open.spotify.com/track/6dEltu2cAIAehlonro6dQq,https://i.scdn.co/image/ab67616d00004851f8faa2618fd54380b916b894,https://p.scdn.co/mp3-preview/4ceda1641e172828adc34a35658511feb7147da4?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
179,Baby,M.Y78,2022/7/15,0.193837351,0.34,0.529829545,0.701561753,0.37098692,0.344984802,0.301738657,0.422173676,https://open.spotify.com/track/4FxFRYI0XiWsojfUTafAb1,https://i.scdn.co/image/ab67616d00004851c07f17be97a3237f54075e06,https://p.scdn.co/mp3-preview/2da468f21a82fa37679c22fe685b63e8276f7b7f?cid=18308f0d5b8049c89ee330d9cfa4bc58,4,0
180,Running Up That Hill (A Deal With God),ケイト・ブッシュ,1985,0.641343779,0.9,0.542613636,0.761884377,0.502972652,0.138225503,0.378822403,0.15346805,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,https://i.scdn.co/image/ab67616d0000485196ab64f52273635308b6bf27,https://p.scdn.co/mp3-preview/16386d8d6335a6d86f6baae3e49d8cc9135485c2?cid=18308f0d5b8049c89ee330d9cfa4bc58,4,0
181,Oh What to Do,Peter Piek,2022/5/27,0.515560958,0.34,0.369318182,0.174532508,0.391200951,0.28289188,0.565484446,0.187329328,https://open.spotify.com/track/5LDnQ4Xc63HspDoyPb5JEP,https://i.scdn.co/image/ab67616d000048516e8893b0c3cda6cff0622688,https://p.scdn.co/mp3-preview/86f0bdc0d6d9bb83e452b15cd4e6051d192a4518?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
182,Hold Me Closer,エルトン・ジョン,2021/10/22,0.333663221,0.74,0.585227273,0.0790746,0.770511296,0.755391518,0.524478238,0.466957946,https://open.spotify.com/track/5TJEBoTCDbJXiKMdCN9pd3,https://i.scdn.co/image/ab67616d0000485195bce0485d37868c9fe5be58,なし,5,0
183,Vegas (From the Original Motion Picture Soundtrack ELVIS),ドージャ・キャット,2022/5/6,0.272122655,0.9,0.786931818,0.082143646,0.567181926,0.539803155,0.804768509,0.746586565,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF,https://i.scdn.co/image/ab67616d0000485129e2914af6e83df7e963d365,https://p.scdn.co/mp3-preview/d82f00d7dae8f764475569afdfb88984456c9efd?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
184,Sweater Weather,The Neighbourhood,2013/4/19,0.455080064,0.93,0.518465909,0.052299821,0.812128419,0.88457085,0.508255729,0.373020208,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d000048518265a736a1eb838ad5a0b921,https://p.scdn.co/mp3-preview/387541e6cab7e39e27acdb2c80ae6274b1182836?cid=18308f0d5b8049c89ee330d9cfa4bc58,5,0
185,Bam Bam (feat. Ed Sheeran),カミラ・カベロ,2022/4/7,0.345835137,0.82,0.723011364,0.192523466,0.681331748,0.626429295,0.268368998,0.982523211,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a,https://i.scdn.co/image/ab67616d00004851370ed6a9ced20874385fb147,https://p.scdn.co/mp3-preview/42bbfd5ee15fa7b66b39443aa6096427437053d7?cid=18308f0d5b8049c89ee330d9cfa4bc58,6,0
186,About Damn Time,Lizzo,2022/7/15,0.300861103,0.82,0.836647727,0.102991992,0.736028537,0.63163989,0.383693283,0.728017477,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P,https://i.scdn.co/image/ab67616d00004851fe3b1b9cb7183a94e1aafd43,https://p.scdn.co/mp3-preview/d009565cdc3062deaee9fb82521a801aba1ad507?cid=18308f0d5b8049c89ee330d9cfa4bc58,1,0
