id,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred,iine
27,Girl,Absolute area,2019/4/24,0.478265643,0.301204819,0.454907162,0.188730732,0.7347876,0.78939072,0.375793884,0.470842333,https://open.spotify.com/track/56SjonPGWFCNDEjIH23i7u,https://i.scdn.co/image/ab67616d00004851d6c773fbe23786a8f6dbfb3b,https://p.scdn.co/mp3-preview/368e5b98766040adef810dcade927b83f1bba5c3?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
28,Pride,遥海,2022/1/26,0.416630471,0.421686747,0.484084881,0.076985654,0.615384615,0.673154684,0.630652749,0.385529158,https://open.spotify.com/track/7y7WXVDkpy61yqK4hjCBSL,https://i.scdn.co/image/ab67616d00004851b48a0f405159163c13253bc5,https://p.scdn.co/mp3-preview/23b58bb5949b8a03fa1645aa60de07df2936f063?cid=18308f0d5b8049c89ee330d9cfa4bc58,3,0
29,ハルカ,YOASOBI,2020/12/18,0.343441985,0.734939759,0.673740053,0.080002771,0.800229621,0.699335207,0.221236401,0.686825054,https://open.spotify.com/track/6wKmxUeMJAoz2GpMrw95z5,https://i.scdn.co/image/ab67616d00004851bb6370163b04145ed2e87442,https://p.scdn.co/mp3-preview/42734dd38dad70d9ec82b8e5c5fb614e84226ef2?cid=18308f0d5b8049c89ee330d9cfa4bc58,18,0
30,morning,雨のパレード,2017/3/8,0.282949973,0.493975904,0.696286472,0.558606941,0.273249139,0.422040984,0.375396942,0.074514039,https://open.spotify.com/track/3OhHzbk9y4ebI5EIy76n0k,https://i.scdn.co/image/ab67616d00004851f47fd4e34231447a53999562,https://p.scdn.co/mp3-preview/d1a421feef7ef1410dc6c0f871e681163212533e?cid=18308f0d5b8049c89ee330d9cfa4bc58,11,0
31,Start Over,THE BEAT GARDEN,2022/8/4,0.242991881,0.771084337,0.521220159,0.18537838,0.878300804,0.876087999,0.280954131,0.53887689,https://open.spotify.com/track/6SSFrvijK2HjByYwRO8Rob,https://i.scdn.co/image/ab67616d000048516bbf3faea680fd1da8e48298,なし,2,0
32,プレゼント,SEKAI NO OWARI,2015/9/25,0.433739684,0.530120482,0.574270557,0.537375376,0.804822044,0.788362689,0.338848868,0.509719222,https://open.spotify.com/track/3H6sHQWnAU5jjnqFNLHjoM,https://i.scdn.co/image/ab67616d000048510b92383b4cd078df38a9d622,https://p.scdn.co/mp3-preview/a4f7b7e30d8ed4011123ad4d661c53390f581cae?cid=18308f0d5b8049c89ee330d9cfa4bc58,10,0
33,テレパシー,恋ステバンド「Lilac」,2020/2/19,0.462862816,0.397590361,0.445623342,0.083355124,0.935706085,0.793914057,0.662150838,0.512958963,https://open.spotify.com/track/0Ul6ZTwCB2pbb190EeMjl3,https://i.scdn.co/image/ab67616d000048512fa43437a7acb461187f0983,https://p.scdn.co/mp3-preview/f7ef8762d392d96d834569cf58165415f926d23f?cid=18308f0d5b8049c89ee330d9cfa4bc58,9,0
34,死ぬのがいいわ,藤井 風,2020/5/20,0.204926327,1,0.525198939,0.186495831,0.7347876,0.630799808,0.64801529,0.514038877,https://open.spotify.com/track/0HYAsQwJIO6FLqpyTeD3l6,https://i.scdn.co/image/ab67616d00004851731953ff97a79644f6eb7b4e,なし,3,0
35,泣き空,Karin.,2020/7/22,0.51104259,0.265060241,0.437665782,0.072851086,0.610792193,0.741827154,0.162312555,0.492440605,https://open.spotify.com/track/2DE4BDGgeHPdynSZCwZfxI,https://i.scdn.co/image/ab67616d000048511fb93ebbe723f9551a2709df,なし,1,0
36,CITRUS,Da-iCE,2021/1/20,0.355470223,0.86746988,0.457559682,0.245720722,0.850746269,0.877321637,0.089113496,0.75161987,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR,https://i.scdn.co/image/ab67616d000048513d7160267cb5a93eb4c22ba5,https://p.scdn.co/mp3-preview/59a6fa54e294fc46b599a87af02c542a3e4dd951?cid=18308f0d5b8049c89ee330d9cfa4bc58,2,0
